DistCode,District,College Code,College Name,Branch,OC,BCM,BC,MBC,SCA,SC,ST
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CHEMICAL ENGINEERING,196.75,195.0,196.5,195.0,189.25,190.25,0.0
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL ENGG (SS),196.75,196.0,196.5,195.5,189.25,189.25,0.0
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ELEC AND ELECTRONICS ENGG (SS),197.25,195.25,197.25,196.0,186.0,189.75,0.0
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ELECTRICAL AND ELECTRONICS ENGG.,198.0,196.0,197.5,196.75,191.5,193.0,189.0
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),MECHANICAL ENGINEERING(SS),198.0,196.25,197.75,196.75,190.5,191.0,0.0
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,197.5,196.25,197.25,196.5,192.25,192.5,0.0
3,COIMBATORE,2349,DHAANISH AHMED INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGG.,103.5,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2349,DHAANISH AHMED INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,114.5,109.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2349,DHAANISH AHMED INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGG.,96.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2349,DHAANISH AHMED INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGG.,180.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2349,DHAANISH AHMED INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,96.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2743,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,COMPUTER SCIENCE AND ENGG.,106.5,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2743,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,MECHANICAL ENGINEERING,86.0,0.0,0.0,0.0,0.0,0.0,0.0
